City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2024-11-17,47.56189665570408,58.125299080447746,0.0,8.604919257068877,8.604919257068877,2.4724742252546,0.305230930969334,8.454266705709276,114.38959605586516,0,0,0,121.95,Moderate
Ahmedabad,2024-11-18,64.15571018148579,78.4045655078005,0.0,11.607079296855357,11.607079296855357,3.335092815471312,0.411722587251894,11.403865756127713,154.29884610073012,0,0,0,180.05,Moderate
Ahmedabad,2024-11-19,68.39766285355306,83.58864741130138,0.0,12.374535239575186,12.374535239575186,3.5556079627615618,0.43894553785446766,12.157885292023405,164.5010307646102,0,0,0,194.91,Moderate
Ahmedabad,2024-11-20,52.22359596552374,63.822352513111646,0.0,9.448315946063639,9.448315946063639,2.7148096281686462,0.3351476273226261,9.282897438254079,125.60129992975227,0,0,0,138.27,Moderate
Ahmedabad,2024-11-21,36.85340418291418,45.03847177859775,0.0,6.667534090108007,6.667534090108007,1.9158002174460698,0.23650862684406804,6.55080074352527,88.63494339352641,0,0,0,88.86,Satisfactory
Ahmedabad,2024-11-22,46.027867447062604,56.25056504290733,0.0,8.327382018091633,8.327382018091633,2.3927287158059376,0.2953862192061072,8.181588512110624,110.70015148251987,0,0,0,116.58,Moderate
Ahmedabad,2024-11-23,46.66913344532599,57.034254940915446,0.0,8.443400144477648,8.443400144477648,2.4260645111320946,0.2995015769065331,8.295575425161354,112.24243981968846,0,0,0,118.82,Moderate
Ahmedabad,2024-11-24,48.2958590928086,59.022273111557965,0.0,8.737708063930903,8.737708063930903,2.5106287845898265,0.30994117285887957,8.584730682791019,116.15482563256445,0,0,0,124.52,Moderate
Ahmedabad,2024-11-25,46.61450331373536,56.96749156601271,0.0,8.433516437048079,8.433516437048079,2.423224599316595,0.29915098521240674,8.285864758953517,112.11105063791616,0,0,0,118.63,Moderate
Ahmedabad,2024-11-26,27.31364973367896,33.37995688526184,0.0,4.941597520291088,4.941597520291088,1.4198822947077379,0.17528675941440366,4.855081394807104,65.69118516160388,0,0,0,66.38,Satisfactory
Ahmedabad,2024-11-27,64.35243183204723,78.64497864475457,0.0,11.64267026437821,11.64267026437821,3.3453192623702583,0.412985058615838,11.43883360681443,154.7719750490154,0,0,0,180.74,Moderate
Ahmedabad,2024-11-28,54.87411160958361,67.06154239747697,0.0,9.92784840188293,9.92784840188293,2.8525949579045697,0.3521574485129287,9.75403437218982,131.97597031050964,0,0,0,147.55,Moderate
Ahmedabad,2024-11-29,67.9837407232288,83.08279400105418,0.0,12.299648265745327,12.299648265745327,3.5340904903634875,0.4362891711813247,12.084309418662246,163.5055198910821,0,0,0,193.46,Moderate
Ahmedabad,2024-11-30,46.528799346732484,56.8627529188035,0.0,8.418010837651806,8.418010837651806,2.418769334402527,0.2986009755728539,8.270630627311867,111.90492676870188,0,0,0,118.33,Moderate
